Top rotor RPM,Bottom rotor RPM,x/Diameter,z/Diameter,Top rotor thrust (N),Bottom rotor thrust (N),Top rotor torque (Nm),Bottom rotor torque (Nm),Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9
12780.0,17040.0,0.55,0.25,1.1036,0.11858,0.020952,0.00083837,73.533918,75.078352,74.24031900000001,75.879275,75.77993599999999,76.127091,78.940238,73.533918,73.533918
12780.0,12780.0,0.825,0.25,1.558,0.12077,0.021924,0.00090608,65.693918,67.51835200000002,67.00031899999999,66.999275,69.40993599999999,68.21709100000001,68.580238,65.693918,65.693918
17040.0,17040.0,0.825,0.25,3.384,0.10262,0.037516,0.00070822,73.05391800000001,74.35744290909089,73.57940990909091,75.02836590909091,76.67084509090908,76.12618190909092,75.37023799999999,73.05391800000001,73.05391800000001
17040.0,12780.0,0.825,0.25,3.2306,0.098204,0.036247,0.00065842,71.89028163636364,73.83017018181818,72.59759172727273,73.13745681818182,75.69811781818181,73.85345463636364,75.02478345454546,71.89028163636364,71.89028163636364
12780.0,17040.0,0.825,0.25,1.8017,0.067174,0.017739,0.00054567,66.26391800000002,67.73835199999999,67.50031900000002,69.349275,70.399936,70.83709100000002,69.740238,66.26391800000002,66.26391800000002
12780.0,12780.0,1.1,0.25,2.027,0.033361,0.010193,0.00020931,60.523918,62.178352000000004,61.240319,61.539274999999996,62.869935999999996,62.93709100000001,62.610237999999995,60.523918,60.523918
17040.0,17040.0,1.1,0.25,3.9802,0.028285,0.026181,0.00017794,65.06300890909091,67.13017018181817,67.20668263636364,69.17382045454545,70.26175418181818,71.13527281818182,69.59751072727273,65.06300890909091,65.06300890909091
17040.0,12780.0,1.1,0.25,3.8731,0.023732,0.029232,8.0256,64.40846345454544,66.93017018181818,65.95213718181819,67.119275,69.54357236363637,67.42618190909091,68.47932890909091,64.40846345454544,64.40846345454544
12829.0,0.0,1.1,0.25,1.7644,0.066102,0.016943,0.00055185,52.553917999999996,54.548351999999994,55.297591727272724,56.819275,55.970845090909094,55.035272818181824,55.442965272727264,52.553917999999996,52.553917999999996
17106.0,0.0,1.1,0.25,3.8781,0.10848,0.034943,0.00079299,59.87209981818182,60.53017018181818,59.86122809090909,64.33745681818182,65.66175418181818,61.97163645454546,63.942965272727264,59.87209981818182,59.87209981818182
0.0,12829.0,1.1,0.25,0.10594,0.025433,0.0090418,0.00016207,56.923918,57.228351999999994,55.880319,57.55927499999999,57.629936,58.297091,60.52023799999999,56.923918,56.923918
0.0,17106.0,1.1,0.25,0.19965,0.038281,0.012448,0.00023299,61.113918,58.938351999999995,59.140319,61.009275,64.649936,65.08709099999999,62.480237999999986,61.113918,61.113918
12780.0,17040.0,1.1,0.25,2.1812,0.042404,0.01697,0.00033059,61.62391799999999,62.108352000000004,63.300319,65.37927499999998,63.80993600000001,66.837091,65.020238,61.62391799999999,61.62391799999999
12780.0,12780.0,0.0,0.875,2.1857,0.13154,0.0084144,0.00095046,66.973918,67.90835200000001,67.550319,68.739275,68.46993599999999,68.747091,71.870238,66.973918,66.973918
